Check Size NLON NLAT TIME VERSION
1.20725e+09 60 10 6 134.782 2
1.20725e+09 45 9 5 135.345 2
1.20725e+09 45 9 5 98.5913 2
1.20725e+09 45 9 5 313.762 2
1.20725e+09 45 9 5 98.01 2
1.20725e+09 45 9 5 157.556 2
1.20725e+09 45 9 5 97.3769 2
1.20725e+09 45 9 5 135.471 2
1.20725e+09 45 9 5 155.966 2
1.20725e+09 45 9 5 98.1182 2
1.20725e+09 28 7 4 125.135 2
1.20725e+09 28 7 4 201.168 2
1.20725e+09 28 7 4 213.807 2
1.20725e+09 28 7 4 127.568 2
1.20725e+09 28 7 4 127.105 2
1.20725e+09 28 7 4 125.456 2
1.20725e+09 28 7 4 201.411 2
1.20725e+09 28 7 4 195.798 2
1.20725e+09 28 7 4 124.87 2
1.20725e+09 15 5 3 192.385 2
1.20725e+09 15 5 3 229.351 2
1.20725e+09 15 5 3 192.598 2
1.20725e+09 15 5 3 230.461 2
1.20725e+09 15 5 3 192.333 2
1.20725e+09 15 5 3 212.308 2
1.20725e+09 15 5 3 192.902 2
1.20725e+09 15 5 3 229.296 2
1.20725e+09 15 5 3 192.441 2
1.20725e+09 6 3 2 367.76 2
1.20725e+09 6 3 2 368.048 2
1.20725e+09 6 3 2 367.82 2
1.20725e+09 6 3 2 367.344 2
1.20725e+09 6 3 2 368.06 2
1.20725e+09 6 3 2 367.029 2
1.20725e+09 6 3 2 368.004 2
1.20725e+09 6 3 2 367.749 2
1.20725e+09 6 3 2 368.034 2
1.20725e+09 1 1 1 750.545 2
1.20725e+09 1 1 1 746.313 2
1.20725e+09 1 1 1 749.374 2
1.20725e+09 1 1 1 750.239 2
1.20725e+09 1 1 1 745.816 2
1.20725e+09 1 1 1 748.012 2
1.20725e+09 1 1 1 747.894 2
1.20725e+09 1 1 1 750.256 2
1.20725e+09 1 1 1 749.983 2
2.25043e+07 252 21 12 2.15398 0
2.25043e+07 252 21 12 2.16935 0
2.25043e+07 252 21 12 2.1534 0
2.25043e+07 252 21 12 2.23623 0
2.25043e+07 252 21 12 2.26268 0
2.25043e+07 252 21 12 2.17414 0
2.25043e+07 252 21 12 2.23908 0
2.25043e+07 252 21 12 2.14907 0
2.25043e+07 252 21 12 2.26503 0
2.25043e+07 252 21 12 2.15552 0
2.25043e+07 252 21 12 2.23103 0
2.25043e+07 252 21 12 2.20395 0
2.25043e+07 252 21 12 2.16581 0
2.25043e+07 252 21 12 2.19697 0
2.25043e+07 252 21 12 2.17702 0
2.25043e+07 252 21 12 2.17191 0
2.25043e+07 252 21 12 2.17122 0
5.11059e+08 252 21 12 65.6175 1
5.11059e+08 252 21 12 65.3195 1
5.11059e+08 252 21 12 66.4717 1
5.11059e+08 252 21 12 66.0812 1
5.11059e+08 252 21 12 66.1691 1
5.11059e+08 252 21 12 66.0577 1
5.11059e+08 252 21 12 66.3961 1
5.11059e+08 252 21 12 66.6065 1
5.11059e+08 252 21 12 66.754 1
5.11059e+08 252 21 12 65.7537 1
5.11059e+08 252 21 12 66.9453 1
5.11059e+08 252 21 12 66.0014 1
5.11059e+08 252 21 12 66.6581 1
5.11059e+08 252 21 12 66.8776 1
5.11059e+08 252 21 12 66.5125 1
5.11059e+08 252 21 12 66.0761 1
5.11059e+08 252 21 12 66.9818 1
2.25043e+07 220 20 11 2.37476 0
2.25043e+07 220 20 11 2.44828 0
2.25043e+07 220 20 11 2.29997 0
2.25043e+07 220 20 11 2.28161 0
2.25043e+07 220 20 11 2.18028 0
2.25043e+07 220 20 11 2.25231 0
2.25043e+07 220 20 11 2.20275 0
2.25043e+07 220 20 11 2.08945 0
2.25043e+07 220 20 11 2.13921 0
2.25043e+07 220 20 11 2.09329 0
2.25043e+07 220 20 11 2.16933 0
2.25043e+07 220 20 11 2.2121 0
2.25043e+07 220 20 11 2.19729 0
2.25043e+07 220 20 11 2.1736 0
2.25043e+07 220 20 11 2.0775 0
2.25043e+07 220 20 11 2.1511 0
2.25043e+07 220 20 11 2.11442 0
5.11059e+08 220 20 11 57.936 1
5.11059e+08 220 20 11 58.6176 1
5.11059e+08 220 20 11 57.1517 1
5.11059e+08 220 20 11 58.7248 1
5.11059e+08 220 20 11 58.2465 1
5.11059e+08 220 20 11 59.2095 1
5.11059e+08 220 20 11 58.5807 1
5.11059e+08 220 20 11 58.5695 1
5.11059e+08 220 20 11 59.3453 1
5.11059e+08 220 20 11 58.4315 1
5.11059e+08 220 20 11 58.8794 1
5.11059e+08 220 20 11 58.6276 1
5.11059e+08 220 20 11 59.173 1
5.11059e+08 220 20 11 58.9599 1
5.11059e+08 220 20 11 58.9952 1
5.11059e+08 220 20 11 57.4176 1
5.11059e+08 220 20 11 59.0827 1
